exact filename,filename,|V|,|E|,size [kB],type,origin,description
exact_116,planted_weighted_cycle_23_4+46v+46e.gr,105,312,1.8,planted,PACE 2020,A cycle of cliques of random cycles with some added random edges that go bottom-up the optimal treedepth decomposition
exact_117,polbooks_105.gr,105,441,3.2,social,www-personal.umich.edu/~mejn/netdata/,"Books about US politics: A network of books about US politics published around the time of the 2004 presidential election and sold by the online bookseller Amazon.com. Edges between books represent frequent copurchasing of books by the same buyers. The network was compiled by V. Krebs and is unpublished, but can found on Krebs' web site. Thanks to Valdis Krebs for permission to post these data on this web site."
exact_118,planted_rand_tree_110+110e.gr,110,219,1.3,planted,PACE 2020,A random tree with some added random edges that go bottom-up the optimal treedepth decomposition
exact_119,RodriguezJorge_TCR_Signalling_BooleanModel_17Jul2018.gr,110,223,1.3,biology,ginsim.org/models_repository,"This is a gene regulatory network where the nodes are genes or cell states and edges correspond to regulatory interactions between pairs of genes or states, for example, if one gene is upregulated and reaches a certain level of activation, then another gene is upregulated as well. This network contains genes involved in the T cell receptor (TCR) signalling pathway and the Toll-like receptor (TLR5) signalling pathway. Reference: Rodr\'iguez-Jorge, Otoniel, Kempis-Calanis, Linda A., Abou-Jaoud\'e, Wassim, Guti\'errez-Reyna, Darely Y., Hernandez, C\'eline, Ramirez-Pliego, Oscar, Thomas-Chollier, Morgane, … (2019). Cooperation between t cell receptor and toll-like receptor 5 signaling for cd4+ t cell activation. Science Signaling, 12(577). http://dx.doi.org/10.1126/scisignal.aar3641"
exact_120,aves-songbird-social.gr,111,1029,6.0,social,networkrepository.com,"an animal social network. A machine learning algorithm was applied to identify clusters of detections on feeders. Next, the network was generated based on patterns of co-occurrence by individuals in the same feeding events. Asociations between birds were defined using the simple ratio index. From: Adelman, James S., et al. ""Feeder use predicts both acquisition and transmission of a contagious pathogen in a North American songbird."" Proc. R. Soc. B. Vol. 282. No. 1815. The Royal Society, 2015."
exact_121,Balaban11Cage.gr,112,168,1.0,named,github.com/freetdi/named-graphs,"Balaban 11-cage graph, see https://en.wikipedia.org/wiki/Balaban_11-cage"
exact_122,adjnoun_112.gr,112,425,3.0,social,www-personal.umich.edu/~mejn/netdata/,Adjacency network of common adjectives and nouns in the novel David Copperfield by Charles Dickens.
exact_123,Podzamcze_Poland.gr,113,164,1.0,infrastracture,Open street maps,Podzamcze (Poland): a road network downloaded from open street maps using osmnx Python package
exact_124,expander-chordal-cycle_113.gr,113,168,1.1,generated,Python networkx package,A cycle graph on p nodes with chords joining each vertex x to its inverse modulo p. This graph is a (mildly explicit) 3-regular expander. Generated using chordal_cycle_graph function from Python’s networkx package
exact_125,amj04010.kgml.gr-0.gr,115,161,1.0,biology,www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of the map ""amj04010 MAPK signaling pathway - Alligator mississippiensis (American alligator)""."
exact_126,mrt01130.kgml.gr-0.gr,117,146,0.9,biology,www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of a map of pathways of Malassezia restricta."
exact_127,mmu05200.kgml.gr-2.gr,119,147,0.9,biology,www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of the map ""mmu05200 Pathways in cancer - Mus musculus (mouse)""."
exact_128,Czerniewice_Poland.gr,120,157,1.0,infrastracture,Open street maps,Czerniewice (Poland): a road network downloaded from open street maps using osmnx Python package
exact_129,BubbleSortGraph_5.gr,120,240,1.5,named,github.com/freetdi/named-graphs,Bubble sort graph for 5-permutations
exact_130,planted_rand_tree_120+360e.gr,120,479,2.9,planted,PACE 2020,A random tree with some added random edges that go bottom-up the optimal treedepth decomposition
exact_131,grid_121.gr,121,220,1.4,generated,Python networkx package,A grid graph generated using grid_graph function from Python’s networkx package
exact_132,SierpinskiGasketGraph_5.gr,123,243,1.5,named,github.com/freetdi/named-graphs,Sierpinski Gasket graph of generation 5
exact_133,planted_weighted_cycle_25_5+50v+50e.gr,123,409,2.5,planted,PACE 2020,A cycle of cliques of random cycles with some added random edges that go bottom-up the optimal treedepth decomposition
exact_134,ENZYMES_g296.gr,125,141,1.1,biology,networkrepository.com,"ENZYMES is a dataset of protein tertiary structures obtained from (Borgwardt et al., 2005)  consisting of 600 enzymes from the BRENDA enzyme database (Schomburg et al., 2004). Refernces: K. M. Borgwardt, C. S. Ong, S. Schoenauer, S. V. N. Vishwanathan, A. J. Smola, and H. P. Kriegel. Protein function prediction via graph kernels. Bioinformatics, 21(Suppl 1):i47–i56, Jun 2005. I. Schomburg, A. Chang, C. Ebeling, M. Gremse, C. Heldt, G. Huhn, and D. Schomburg. Brenda, the enzyme database: updates and major new developments. Nucleic Acids Research, 32D:431–433, 2009"
exact_135,Tutte12Cage.gr,126,189,1.2,named,github.com/freetdi/named-graphs,"Tutte 12 cage graph, see https://en.wikipedia.org/wiki/Tutte_12-cage"
exact_136,OddGraph_5.gr,126,315,1.9,named,github.com/freetdi/named-graphs,"Odd graph O_5, which is the Kneser graph KG(9,4)"
exact_137,zeroin.i.1.gr,126,4100,24.7,computer science,archive.dimacs.rutgers.edu/pub/challenge/graph/benchmarks/color/,Problem based on register allocation for variables in real codes. Used in DIMACS Coloring Challenge 1992-1993. Contributor: Gary Lewandowski
exact_138,expander-chordal-cycle_127.gr,127,189,1.2,generated,Python networkx package,A cycle graph on p nodes with chords joining each vertex x to its inverse modulo p. This graph is a (mildly explicit) 3-regular expander. Generated using chordal_cycle_graph function from Python’s networkx package
exact_139,RodriguezJorge_Merged_TCR_TLR5_Signalling_BooleanModel_15Jul2018.gr,128,266,1.7,biology,ginsim.org/models_repository,"This is a gene regulatory network where the nodes are genes or cell states and edges correspond to regulatory interactions between pairs of genes or states, for example, if one gene is upregulated and reaches a certain level of activation, then another gene is upregulated as well. This network contains genes involved in the T cell receptor (TCR) signalling pathway and the Toll-like receptor (TLR5) signalling pathway. Reference: Rodr\'iguez-Jorge, Otoniel, Kempis-Calanis, Linda A., Abou-Jaoud\'e, Wassim, Guti\'errez-Reyna, Darely Y., Hernandez, C\'eline, Ramirez-Pliego, Oscar, Thomas-Chollier, Morgane, … (2019). Cooperation between t cell receptor and toll-like receptor 5 signaling for cd4+ t cell activation. Science Signaling, 12(577). http://dx.doi.org/10.1126/scisignal.aar3641"
exact_140,expander-chordal-cycle_131.gr,131,193,1.3,generated,Python networkx package,A cycle graph on p nodes with chords joining each vertex x to its inverse modulo p. This graph is a (mildly explicit) 3-regular expander. Generated using chordal_cycle_graph function from Python’s networkx package
exact_141,Fabianki_Poland.gr,132,191,1.3,infrastracture,Open street maps,Fabianki (Poland): a road network downloaded from open street maps using osmnx Python package
exact_142,cne01130.kgml.gr-0.gr,133,167,1.0,biology,www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of a map of pathways of Cryptococcus neoformans var. neoformans JEC21."
exact_143,planted_weighted_cycle_29_5+58v+58e.gr,138,447,2.8,planted,PACE 2020,A cycle of cliques of random cycles with some added random edges that go bottom-up the optimal treedepth decomposition
exact_144,anna.gr,138,493,3.2,social,Stanford Graph Base,Anna Karenina graph from  Stanford Graph Base
exact_145,planted_rand_tree_140+140e.gr,140,279,1.8,planted,PACE 2020,A random tree with some added random edges that go bottom-up the optimal treedepth decomposition
exact_146,waxman_150.gr,141,214,1.4,generated,Python networkx package,A Waxman graph (a random geometric graph) generated using waxman_graph function from Python’s networkx package
exact_147,Łabiszyn-_Poland.gr,142,196,1.3,infrastracture,Open street maps,Łabiszyn- (Poland): a road network downloaded from open street maps using osmnx Python package
exact_148,aves-wildbird-network-5.gr,145,2512,15.0,social,networkrepository.com,"an animal social network. Groups were defined as individuals detected on the same nest-box during the same day, and co-memberships represented individuals that overlapped in nest-box exploration patterns during the same day. Networks were calculated from these group-by-individual matrices using the halfweight index. Each network represents social data collected for consecutive 6-day time window. From: Firth, Josh A., and Ben C. Sheldon. ""Experimental manipulation of avian social structure reveals segregation is carried over across contexts."" Proceedings of the Royal Society of London B: Biological Sciences 282.1802 (2015): 20142350."
exact_149,ob-Lpr-a-03.txt.gr,146,250,1.6,infrastracture,gitlab.com/rvb/mwcarp-ob,"a road network from the Ob generator by René van Bevern, Christian Komusiewicz, and Manuel Sorge (cities that are divided into several components by a river)"
exact_150,Lubraniec_Poland.gr,148,198,1.3,infrastracture,Open street maps,Lubraniec (Poland): a road network downloaded from open street maps using osmnx Python package
exact_151,planted_rand_tree_150+450e.gr,150,599,3.8,planted,PACE 2020,A random tree with some added random edges that go bottom-up the optimal treedepth decomposition
exact_152,expander-chordal-cycle_151.gr,151,223,1.5,generated,Python networkx package,A cycle graph on p nodes with chords joining each vertex x to its inverse modulo p. This graph is a (mildly explicit) 3-regular expander. Generated using chordal_cycle_graph function from Python’s networkx package
exact_153,planted_weighted_cycle_31_5+62v+62e.gr,152,476,3.1,planted,PACE 2020,A cycle of cliques of random cycles with some added random edges that go bottom-up the optimal treedepth decomposition
exact_154,zeroin.i.2.gr,157,3541,21.5,computer science,archive.dimacs.rutgers.edu/pub/challenge/graph/benchmarks/color/,Problem based on register allocation for variables in real codes. Used in DIMACS Coloring Challenge 1992-1993. Contributor: Gary Lewandowski
exact_155,random-cubic_160.gr,160,240,1.6,generated,Python networkx package,A random cubic graph generated using random_regular_graph function from Python’s networkx package
exact_156,planted_rand_tree_160+160e.gr,160,319,2.1,planted,PACE 2020,A random tree with some added random edges that go bottom-up the optimal treedepth decomposition
exact_157,Czernikowo_Poland.gr,163,195,1.3,infrastracture,Open street maps,Czernikowo (Poland): a road network downloaded from open street maps using osmnx Python package
exact_158,ob-Lpr-b-03.txt.gr,163,278,1.8,infrastracture,gitlab.com/rvb/mwcarp-ob,"a road network from the Ob generator by René van Bevern, Christian Komusiewicz, and Manuel Sorge (cities that are divided into several components by a river)"
exact_159,planted_weighted_cycle_35_5+70v+70e.gr,165,522,3.4,planted,PACE 2020,A cycle of cliques of random cycles with some added random edges that go bottom-up the optimal treedepth decomposition
exact_160,mrt01110.kgml.gr-0.gr,167,213,1.4,biology,www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of the map ""mrt01110 Biosynthesis of secondary metabolites - Malassezia restricta""."
exact_161,WorldMap.gr,167,328,2.2,named,github.com/freetdi/named-graphs,"Graph of all the countries, in which two countries are adjacent in the graph if they have a common boundary. From sage’s WorldMath() function."
exact_162,Osiek_Poland.gr,170,218,1.5,infrastracture,Open street maps,Osiek (Poland): a road network downloaded from open street maps using osmnx Python package
exact_163,random-cubic_170.gr,170,255,1.7,generated,Python networkx package,A random cubic graph generated using random_regular_graph function from Python’s networkx package
exact_164,planted_rand_tree_170+510e.gr,170,679,4.3,planted,PACE 2020,A random tree with some added random edges that go bottom-up the optimal treedepth decomposition
exact_165,GTFS_VBB_EndeApr_Dez2016.zip_metro.gr,176,186,46.9,infrastracture,github.com/daajoe/transit_graphs,Transit graphs contributed by Johannes Fichte for PACE 2018
exact_166,mulsol.i.5.gr,176,3973,24.8,computer science,archive.dimacs.rutgers.edu/pub/challenge/graph/benchmarks/color/,Problem based on register allocation for variables in real codes. Used in DIMACS Coloring Challenge 1992-1993. Contributor: Gary Lewandowski
exact_167,random-cubic_180.gr,180,270,1.8,generated,Python networkx package,A random cubic graph generated using random_regular_graph function from Python’s networkx package
exact_168,planted_rand_tree_180+180e.gr,180,359,2.5,planted,PACE 2020,A random tree with some added random edges that go bottom-up the optimal treedepth decomposition
exact_169,Nowogród_Poland.gr,181,253,1.8,infrastracture,Open street maps,Nowogród (Poland): a road network downloaded from open street maps using osmnx Python package
exact_170,Byczyna_Poland.gr,184,268,1.9,infrastracture,Open street maps,Byczyna (Poland): a road network downloaded from open street maps using osmnx Python package
exact_171,expander-chordal-cycle_191.gr,191,283,2.0,generated,Python networkx package,A cycle graph on p nodes with chords joining each vertex x to its inverse modulo p. This graph is a (mildly explicit) 3-regular expander. Generated using chordal_cycle_graph function from Python’s networkx package
exact_172,ob-Lpr-a-04.txt.gr,195,342,2.3,infrastracture,gitlab.com/rvb/mwcarp-ob,"a road network from the Ob generator by René van Bevern, Christian Komusiewicz, and Manuel Sorge (cities that are divided into several components by a river)"
exact_173,planted_weighted_cycle_39_5+78v+78e.gr,198,692,4.7,planted,PACE 2020,A cycle of cliques of random cycles with some added random edges that go bottom-up the optimal treedepth decomposition
exact_174,Barcin-_Poland.gr,199,265,1.9,infrastracture,Open street maps,Barcin- (Poland): a road network downloaded from open street maps using osmnx Python package
exact_175,random-cubic_200.gr,200,300,2.1,generated,Python networkx package,A random cubic graph generated using random_regular_graph function from Python’s networkx package
exact_176,planted_rand_tree_200+600e.gr,200,799,5.4,planted,PACE 2020,A random tree with some added random edges that go bottom-up the optimal treedepth decomposition
exact_177,olu01110.kgml.gr-0.gr,204,248,1.6,biology,www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of the map ""olu01110 Biosynthesis of secondary metabolites - Ostreococcus lucimarinus""."
exact_178,JohnsonGraph_10_4.gr,210,2520,17.2,named,github.com/freetdi/named-graphs,"Johnson J(10,4) graph, see https://en.wikipedia.org/wiki/Johnson_graph"
exact_179,Mielnik_Poland.gr,212,257,1.8,infrastracture,Open street maps,Mielnik (Poland): a road network downloaded from open street maps using osmnx Python package
exact_180,planted_weighted_cycle_41_5+82v+82e.gr,214,785,5.4,planted,PACE 2020,A cycle of cliques of random cycles with some added random edges that go bottom-up the optimal treedepth decomposition
exact_181,bpg01110.kgml.gr-0.gr,223,265,1.8,biology,www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of the map ""bpg01110 Biosynthesis of secondary metabolites - Bathycoccus prasinos""."
exact_182,planted_weighted_cycle_45_5+90v+90e.gr,225,771,5.3,planted,PACE 2020,A cycle of cliques of random cycles with some added random edges that go bottom-up the optimal treedepth decomposition
exact_183,CameronGraph.gr,231,3465,23.9,named,github.com/freetdi/named-graphs,"Cameron graph, see  see https://www.win.tue.nl/~aeb/graphs/Cameron.html"
exact_184,mpp01110.kgml.gr-0.gr,244,290,2.0,biology,www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of the map ""mpp01110 Biosynthesis of secondary metabolites - Micromonas pusilla""."
exact_185,planted_weighted_cycle_50_6+100v+150e.gr,276,1187,8.4,planted,PACE 2020,A cycle of cliques of random cycles with some added random edges that go bottom-up the optimal treedepth decomposition
exact_186,Wolica_Poland.gr,280,360,2.6,infrastracture,Open street maps,Wolica (Poland): a road network downloaded from open street maps using osmnx Python package
exact_187,random-cubic_300.gr,300,450,3.2,generated,Python networkx package,A random cubic graph generated using random_regular_graph function from Python’s networkx package
exact_188,S1_Table.gr,300,508,3.3,biology,thebiogrid.org,"This is a protein-interaction network containing interactions determined using tandem-affinity purification. Data gathered by Cloutier, P. et al., R2tp/prefoldin-like component ruvbl1/ruvbl2 directly interacts with znhit2 to regulate assembly of u5 small nuclear ribonucleoprotein. Nature Communications, 8(1), 15615, 2007. http://dx.doi.org/10.1038/ncomms15615"
exact_189,planted_rand_tree_300+900e.gr,300,1199,8.5,planted,PACE 2020,A random tree with some added random edges that go bottom-up the optimal treedepth decomposition
exact_190,Kcynia_Poland.gr,352,440,3.2,infrastracture,Open street maps,Kcynia (Poland): a road network downloaded from open street maps using osmnx Python package
exact_191,waxman_450.gr,439,873,6.4,generated,Python networkx package,A Waxman graph (a random geometric graph) generated using waxman_graph function from Python’s networkx package
exact_192,expander-margulis_441.gr,441,1638,12.1,generated,Python networkx package,A  Margulis-Gabber-Galil undirected graph (8-regular expander with multiple edges removed) on n^2 nodes. Generated using margulis_gabber_galil_graph from Python’s networkx package
exact_193,planted_weighted_cycle_75_7+150v+262e.gr,449,2213,16.3,planted,PACE 2020,A cycle of cliques of random cycles with some added random edges that go bottom-up the optimal treedepth decomposition
exact_194,planted_rand_tree_450+1350e.gr,450,1799,12.9,planted,PACE 2020,A random tree with some added random edges that go bottom-up the optimal treedepth decomposition
exact_195,SanMarino.gr,451,587,4.3,infrastracture,Open street maps,San Marino: a road network downloaded from open street maps using osmnx Python package
exact_196,expander-chordal-cycle_457.gr,457,684,5.1,generated,Python networkx package,A cycle graph on p nodes with chords joining each vertex x to its inverse modulo p. This graph is a (mildly explicit) 3-regular expander. Generated using chordal_cycle_graph function from Python’s networkx package
exact_197,uma01100.kgml.gr-0.gr,469,614,4.4,biology,www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of the map ""uma01100 Metabolic pathways - Ustilago maydis""."
exact_198,Czersk_Poland.gr,479,638,4.8,infrastracture,Open street maps,Czersk (Poland): a road network downloaded from open street maps using osmnx Python package
exact_199,Bandyopadhyay2010.gr,491,645,4.7,biology,thebiogrid.org,"This is a protein-interaction network between human mitogen-activated protein kinase (MAPK)-related proteins and other cellular machinery. The nodes are the proteins and edges represent that the proteins bind to each other as detected by using ""yeast two-hybrid screening"". Data gathered by Bandyopadhyay, S. et al., A human map kinase interactome. Nature Methods, 7(10), 801–805, 2010. http://dx.doi.org/10.1038/nmeth.1506"
exact_200,Terespol_Poland.gr,498,702,5.3,infrastracture,Open street maps,Terespol (Poland): a road network downloaded from open street maps using osmnx Python package
