heur filename,filename,|V|,|E|,size [kB],heur depth,type,origin,description
heur_001,expander-margulis_100.gr,100,340,2.0,45.0,generated,Python networkx package,A  Margulis-Gabber-Galil undirected graph (8-regular expander with multiple edges removed) on n^2 nodes. Generated using margulis_gabber_galil_graph from Python’s networkx package
heur_002,HallJankoGraph.gr,100,1800,10.3,83.0,named,https://github.com/freetdi/named-graphs,"Hall-Janko graph, see https://en.wikipedia.org/wiki/Hall%E2%80%93Janko_graph"
heur_003,planted_weighted_cycle_23_4+46v+46e.gr,105,312,1.8,14.0,planted,PACE 2020,A cycle of cliques of random cycles with some added random edges that go bottom-up the optimal treedepth decomposition
heur_004,polbooks_105.gr,105,441,3.2,24.0,social,http://www-personal.umich.edu/~mejn/netdata/,"Books about US politics: A network of books about US politics published around the time of the 2004 presidential election and sold by the online bookseller Amazon.com. Edges between books represent frequent copurchasing of books by the same buyers. The network was compiled by V. Krebs and is unpublished, but can found on Krebs' web site. Thanks to Valdis Krebs for permission to post these data on this web site."
heur_005,aves-songbird-social.gr,111,1029,6.0,38.0,social,http://networkrepository.com/,"an animal social network. A machine learning algorithm was applied to identify clusters of detections on feeders. Next, the network was generated based on patterns of co-occurrence by individuals in the same feeding events. Asociations between birds were defined using the simple ratio index. From: Adelman, James S., et al. ""Feeder use predicts both acquisition and transmission of a contagious pathogen in a North American songbird."" Proc. R. Soc. B. Vol. 282. No. 1815. The Royal Society, 2015."
heur_006,adjnoun_112.gr,112,425,3.0,35.0,social,http://www-personal.umich.edu/~mejn/netdata/,Adjacency network of common adjectives and nouns in the novel David Copperfield by Charles Dickens.
heur_007,Oleszno_Poland.gr,114,143,0.9,12.0,infrastructure,Open street maps,Oleszno (Poland): a road network downloaded from open street maps using osmnx Python package
heur_008,football_115.gr,115,613,4.5,49.0,social,http://www-personal.umich.edu/~mejn/netdata/,"American College football: network of American football games between Division IA colleges during regular season Fall 2000. Please cite M. Girvan and M. E. J. Newman, Proc. Natl. Acad. Sci. USA 99, 7821-7826 (2002)."
heur_009,BubbleSortGraph_5.gr,120,240,1.5,34.0,named,https://github.com/freetdi/named-graphs,Bubble sort graph for 5-permutations
heur_010,planted_rand_tree_120+360e.gr,120,479,2.9,7.0,planted,PACE 2020,A random tree with some added random edges that go bottom-up the optimal treedepth decomposition
heur_011,ENZYMES_g296.gr,125,141,1.1,11.0,biology,http://networkrepository.com/,"ENZYMES is a dataset of protein tertiary structures obtained from (Borgwardt et al., 2005)  consisting of 600 enzymes from the BRENDA enzyme database (Schomburg et al., 2004). Refernces: K. M. Borgwardt, C. S. Ong, S. Schoenauer, S. V. N. Vishwanathan, A. J. Smola, and H. P. Kriegel. Protein function prediction via graph kernels. Bioinformatics, 21(Suppl 1):i47–i56, Jun 2005. I. Schomburg, A. Chang, C. Ebeling, M. Gremse, C. Heldt, G. Huhn, and D. Schomburg. Brenda, the enzyme database: updates and major new developments. Nucleic Acids Research, 32D:431–433, 2009"
heur_012,RodriguezJorge_Merged_TCR_TLR5_Signalling_BooleanModel_15Jul2018.gr,128,266,1.7,20.0,biology,http://ginsim.org/models_repository,"This is a gene regulatory network where the nodes are genes or cell states and edges correspond to regulatory interactions between pairs of genes or states, for example, if one gene is upregulated and reaches a certain level of activation, then another gene is upregulated as well. This network contains genes involved in the T cell receptor (TCR) signalling pathway and the Toll-like receptor (TLR5) signalling pathway. Reference: Rodr\'iguez-Jorge, Otoniel, Kempis-Calanis, Linda A., Abou-Jaoud\'e, Wassim, Guti\'errez-Reyna, Darely Y., Hernandez, C\'eline, Ramirez-Pliego, Oscar, Thomas-Chollier, Morgane, … (2019). Cooperation between t cell receptor and toll-like receptor 5 signaling for cd4+ t cell activation. Science Signaling, 12(577). http://dx.doi.org/10.1126/scisignal.aar3641"
heur_013,anna.gr,138,493,3.2,19.0,social,Stanford Graph Base,Anna Karenina graph from  Stanford Graph Base
heur_014,mulsol.i.1.gr,138,3925,23.9,55.0,computer science,http://archive.dimacs.rutgers.edu/pub/challenge/graph/benchmarks/color/,Problem based on register allocation for variables in real codes. Used in DIMACS Coloring Challenge 1992-1993. Contributor: Gary Lewandowski
heur_015,aves-wildbird-network-5.gr,145,2512,15.0,60.0,social,http://networkrepository.com/,"an animal social network. Groups were defined as individuals detected on the same nest-box during the same day, and co-memberships represented individuals that overlapped in nest-box exploration patterns during the same day. Networks were calculated from these group-by-individual matrices using the halfweight index. Each network represents social data collected for consecutive 6-day time window. From: Firth, Josh A., and Ben C. Sheldon. ""Experimental manipulation of avian social structure reveals segregation is carried over across contexts."" Proceedings of the Royal Society of London B: Biological Sciences 282.1802 (2015): 20142350."
heur_016,ob-Lpr-a-03.txt.gr,146,250,1.6,17.0,infrastructure,https://gitlab.com/rvb/mwcarp-ob,"a road network from the Ob generator by René van Bevern, Christian Komusiewicz, and Manuel Sorge (cities that are divided into several components by a river)"
heur_017,planted_weighted_cycle_27_5+54v+54e.gr,150,598,3.8,18.0,planted,PACE 2020,A cycle of cliques of random cycles with some added random edges that go bottom-up the optimal treedepth decomposition
heur_018,ob-Lpr-b-03.txt.gr,163,278,1.8,19.0,infrastructure,https://gitlab.com/rvb/mwcarp-ob,"a road network from the Ob generator by René van Bevern, Christian Komusiewicz, and Manuel Sorge (cities that are divided into several components by a river)"
heur_019,planted_rand_tree_170+170e.gr,170,339,2.3,7.0,planted,PACE 2020,A random tree with some added random edges that go bottom-up the optimal treedepth decomposition
heur_020,mulsol.i.4.gr,175,3946,24.6,46.0,computer science,http://archive.dimacs.rutgers.edu/pub/challenge/graph/benchmarks/color/,Problem based on register allocation for variables in real codes. Used in DIMACS Coloring Challenge 1992-1993. Contributor: Gary Lewandowski
heur_021,ob2-Lpr-a-04.txt.gr,195,340,2.3,19.0,infrastructure,https://gitlab.com/rvb/mwcarp-ob,"a road network from the Ob generator by René van Bevern, Christian Komusiewicz, and Manuel Sorge (cities that are divided into several components by a river)"
heur_022,ob-Lpr-a-04.txt.gr,195,342,2.3,20.0,infrastructure,https://gitlab.com/rvb/mwcarp-ob,"a road network from the Ob generator by René van Bevern, Christian Komusiewicz, and Manuel Sorge (cities that are divided into several components by a river)"
heur_023,JohnsonGraph_10_4.gr,210,2520,17.2,138.0,named,https://github.com/freetdi/named-graphs,"Johnson J(10,4) graph, see https://en.wikipedia.org/wiki/Johnson_graph"
heur_024,expander-chordal-cycle_211.gr,211,313,2.2,37.0,generated,Python networkx package,A cycle graph on p nodes with chords joining each vertex x to its inverse modulo p. This graph is a (mildly explicit) 3-regular expander. Generated using chordal_cycle_graph function from Python’s networkx package
heur_025,Mielnik_Poland.gr,212,257,1.8,15.0,infrastructure,Open street maps,Mielnik (Poland): a road network downloaded from open street maps using osmnx Python package
heur_026,Unieście_Poland.gr,220,298,2.1,16.0,infrastructure,Open street maps,Unieście (Poland): a road network downloaded from open street maps using osmnx Python package
heur_027,planted_weighted_cycle_45_5+90v+90e.gr,225,771,5.3,17.0,planted,PACE 2020,A cycle of cliques of random cycles with some added random edges that go bottom-up the optimal treedepth decomposition
heur_028,physicians.gr,242,927,6.5,43.0,social,http://konect.cc/,"This directed network captures innovation spread among 246 physicians in for towns in Illinois, Peoria, Bloomington, Quincy and Galesburg. The data was collected in 1966. A node represents a physician and an edge between two physicians shows that the left physician told that the righ physician is his friend or that he turns to the right physician if he needs advice or is interested in a discussion. There always only exists one edge between two nodes even if more than one of the listed conditions are true."
heur_029,mpp01110.kgml.gr-0.gr,244,290,2.0,10.0,biology,http://www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of the map ""mpp01110 Biosynthesis of secondary metabolites - Micromonas pusilla""."
heur_030,ob2-egl-g2-B.gr,255,356,2.5,15.0,infrastructure,https://gitlab.com/rvb/mwcarp-ob,"a road network from the Ob generator by René van Bevern, Christian Komusiewicz, and Manuel Sorge (cities that are divided into several components by a river)"
heur_031,ob2-egl-g2-D.gr,255,364,2.6,17.0,infrastructure,https://gitlab.com/rvb/mwcarp-ob,"a road network from the Ob generator by René van Bevern, Christian Komusiewicz, and Manuel Sorge (cities that are divided into several components by a river)"
heur_032,ob2-egl-g1-D.gr,255,369,2.6,17.0,infrastructure,https://gitlab.com/rvb/mwcarp-ob,"a road network from the Ob generator by René van Bevern, Christian Komusiewicz, and Manuel Sorge (cities that are divided into several components by a river)"
heur_033,RingedTree_8.gr,255,507,3.6,28.0,named,https://github.com/freetdi/named-graphs,"The ringed tree on 8 levels. (A ringed tree of level k is a binary tree with k levels (counting the root as a level), in which all vertices at the same level are connected by a ring.)"
heur_034,fpsol2.i.1.gr,269,11654,77.2,75.0,computer science,http://archive.dimacs.rutgers.edu/pub/challenge/graph/benchmarks/color/,Problem based on register allocation for variables in real codes. Used in DIMACS Coloring Challenge 1992-1993. Contributor: Gary Lewandowski
heur_035,ob-Lpr-c-04.txt.gr,277,502,3.6,25.0,infrastructure,https://gitlab.com/rvb/mwcarp-ob,"a road network from the Ob generator by René van Bevern, Christian Komusiewicz, and Manuel Sorge (cities that are divided into several components by a river)"
heur_036,celegansneural_297.gr,297,2148,15.7,88.0,social,http://www-personal.umich.edu/~mejn/netdata/,"A directed, weighted network representing the neural network of C. Elegans. Data compiled by D. Watts and S. Strogatz and made available on the web here. Please cite D. J. Watts and S. H. Strogatz, Nature 393, 440-442 (1998). Original experimental data taken from J. G. White, E. Southgate, J. N. Thompson, and S. Brenner, Phil. Trans. R. Soc. London 314, 1-340 (1986)."
heur_037,random-cubic_300.gr,300,450,3.2,54.0,generated,Python networkx package,A random cubic graph generated using random_regular_graph function from Python’s networkx package
heur_038,S1_Table.gr,300,508,3.3,13.0,biology,https://thebiogrid.org/,"This is a protein-interaction network containing interactions determined using tandem-affinity purification. Data gathered by Cloutier, P. et al., R2tp/prefoldin-like component ruvbl1/ruvbl2 directly interacts with znhit2 to regulate assembly of u5 small nuclear ribonucleoprotein. Nature Communications, 8(1), 15615, 2007. http://dx.doi.org/10.1038/ncomms15615"
heur_039,planted_rand_tree_300+900e.gr,300,1199,8.5,8.0,planted,PACE 2020,A random tree with some added random edges that go bottom-up the optimal treedepth decomposition
heur_040,ppp01110.kgml.gr-0.gr,313,386,2.7,13.0,biology,http://www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of the map ""ppp01110 Biosynthesis of secondary metabolites - Physcomitrium patens""."
heur_041,inf-USAir97.gr,332,2126,14.3,45.0,infrastructure,http://networkrepository.com/,a flight network
heur_042,school1_nsh.gr,353,14617,105.8,200.0,social,http://archive.dimacs.rutgers.edu/pub/challenge/graph/benchmarks/color/,Class  scheduling graphs.  Used in DIMACS Coloring Challenge 1992-1993. Contributor: Gary Lewandowski
heur_043,db-2015-12-13_2016-12-12_from_2016-04-18.zip.gr,356,592,111.0,18.0,infrastructure,https://github.com/daajoe/transit_graphs,Transit graphs contributed by Johannes Fichte for PACE 2016
heur_044,ob-Lpr-c-05.txt.gr,369,676,4.9,26.0,infrastructure,https://gitlab.com/rvb/mwcarp-ob,"a road network from the Ob generator by René van Bevern, Christian Komusiewicz, and Manuel Sorge (cities that are divided into several components by a river)"
heur_045,ob-Lpr-b-05.txt.gr,401,732,5.4,28.0,infrastructure,https://gitlab.com/rvb/mwcarp-ob,"a road network from the Ob generator by René van Bevern, Christian Komusiewicz, and Manuel Sorge (cities that are divided into several components by a river)"
heur_046,mrt01100.kgml.gr-0.gr,423,540,3.8,14.0,biology,http://www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of the map ""mrt01100 Metabolic pathways - Malassezia restricta""."
heur_047,expander-margulis_441.gr,441,1638,12.1,175.0,generated,Python networkx package,A  Margulis-Gabber-Galil undirected graph (8-regular expander with multiple edges removed) on n^2 nodes. Generated using margulis_gabber_galil_graph from Python’s networkx package
heur_048,aves-weaver-social.gr,446,1354,10.3,16.0,social,http://networkrepository.com/,"an animal social network. A network edge was drawn between individuals that used the same nest chambers either for roosting or nest-building at any given time within a series of observations at the same colony in the same year, either together in the nest chamber at the same time or at different times. Networks represent social data collected from 23 colonies of sociable weavers. From: van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141-1148."
heur_049,Bandyopadhyay2010.gr,491,645,4.7,17.0,biology,https://thebiogrid.org/,"This is a protein-interaction network between human mitogen-activated protein kinase (MAPK)-related proteins and other cellular machinery. The nodes are the proteins and edges represent that the proteins bind to each other as detected by using ""yeast two-hybrid screening"". Data gathered by Bandyopadhyay, S. et al., A human map kinase interactome. Nature Methods, 7(10), 801–805, 2010. http://dx.doi.org/10.1038/nmeth.1506"
heur_050,adl01100.kgml.gr-0.gr,493,618,4.4,15.0,biology,http://www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of the map ""adl01100 Metabolic pathways - Auricularia subglabra""."
heur_051,power-494-bus.gr,494,586,4.4,17.0,infrastructure,http://networkrepository.com/,a power grid network
heur_052,Terespol_Poland.gr,498,702,5.3,25.0,infrastructure,Open street maps,Terespol (Poland): a road network downloaded from open street maps using osmnx Python package
heur_053,inithx.i.3.gr,559,13969,92.3,47.0,computer science,http://archive.dimacs.rutgers.edu/pub/challenge/graph/benchmarks/color/,Problem based on register allocation for variables in real codes. Used in DIMACS Coloring Challenge 1992-1993. Contributor: Gary Lewandowski
heur_054,shs01100.kgml.gr-0.gr,564,713,5.2,16.0,biology,http://www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of the map ""shs01100 Metabolic pathways - Stereum hirsutum""."
heur_055,GTFS_VBB_EndeApr_Dez2016.zip_tram.gr,590,668,157.7,14.0,infrastructure,https://github.com/daajoe/transit_graphs,Transit graphs contributed by Johannes Fichte for PACE 2020
heur_056,Cell120.gr,600,1200,9.0,112.0,named,https://github.com/freetdi/named-graphs,"120-Cell graph, see https://en.wikipedia.org/wiki/120-cell"
heur_057,fb-pages-food.gr,620,2090,14.7,60.0,social,http://networkrepository.com/,Data collected about Facebook pages (November 2017). These datasets represent blue verified Facebook page networks of different categories. Nodes represent the pages and edges are mutual likes among them.
heur_058,power-662-bus.gr,662,906,6.9,27.0,infrastructure,http://networkrepository.com/,a power grid network
heur_059,ccae01100.kgml.gr-0.gr,669,861,6.3,15.0,biology,http://www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of the map ""ccae01100 Metabolic pathways - Cyanistes caeruleus (blue tit)""."
heur_060,planted_rand_tree_675+2025e.gr,675,2699,20.3,9.0,planted,PACE 2020,A random tree with some added random edges that go bottom-up the optimal treedepth decomposition
heur_061,planted_weighted_cycle_112_8+224v+448e.gr,711,3917,29.5,26.0,planted,PACE 2020,A cycle of cliques of random cycles with some added random edges that go bottom-up the optimal treedepth decomposition
heur_062,sfm01100.kgml.gr-0.gr,800,1020,7.6,18.0,biology,http://www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of the map ""sfm01100 Metabolic pathways - Scleropages formosus (Asian bonytongue)""."
heur_063,Grid2dGraph_20_40.gr,800,1540,11.6,59.0,named,https://github.com/freetdi/named-graphs,A 20x40 grid graph
heur_064,mjv01100.kgml.gr-0.gr,820,1033,7.7,17.0,biology,http://www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of the map ""mjv01100 Metabolic pathways - Manis javanica (Malayan pangolin)""."
heur_065,SS-Butterfly_weights.gr,832,86528,658.9,539.0,biology,http://snap.stanford.edu/biodata/,"This is a butterfly similarity network. Nodes represent butterflies (organisms) and edges represent visual similarities between the organisms. Visual similarities are calculated using butterfly images. The information is extracted from the Leeds butterfly fine-grained species image dataset. Network statistics are calculated on edges with weights above the 75-th percentile.  References: Network enhancement as a general method to denoise weighted biological networks. Bo Wang, Armin Pourshafeie, Marinka Zitnik, Junjie Zhu, Carlos D. Bustamante, Serafim Batzoglou, and Jure Leskovec. Nature Communications. 2018."
heur_066,mcf01100.kgml.gr-0.gr,858,1078,8.0,18.0,biology,http://www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of the map ""mcf01100 Metabolic pathways - Macaca fascicularis (crab-eating macaque)""."
heur_067,soc-wiki-Vote.gr,889,2914,21.9,106.0,social,http://networkrepository.com/,The dataset contains all the Wikipedia voting data from the inception of Wikipedia till January 2008. Nodes in the network represent wikipedia users and a directed edge from node i to node j represents that user i voted on user j.
heur_068,planted_rand_tree_1012+3036e.gr,1012,4047,31.0,10.0,planted,PACE 2020,A random tree with some added random edges that go bottom-up the optimal treedepth decomposition
heur_069,expander-chordal-cycle_1013.gr,1013,1518,11.7,135.0,generated,Python networkx package,A cycle graph on p nodes with chords joining each vertex x to its inverse modulo p. This graph is a (mildly explicit) 3-regular expander. Generated using chordal_cycle_graph function from Python’s networkx package
heur_070,Turzyn_Poland.gr,1016,1462,11.2,32.0,infrastructure,Open street maps,Turzyn (Poland): a road network downloaded from open street maps using osmnx Python package
heur_071,RingedTree_10.gr,1023,2043,15.7,46.0,named,https://github.com/freetdi/named-graphs,"The ringed tree on 10 levels. (A ringed tree of level k is a binary tree with k levels (counting the root as a level), in which all vertices at the same level are connected by a ring.)"
heur_072,power-1138-bus.gr,1138,1458,11.5,22.0,infrastructure,http://networkrepository.com/,a power grid network
heur_073,NE5K_HiC_Net_15.gr,1165,35474,279.3,96.0,biology,http://snap.stanford.edu/biodata/,"This is a Hi-C interaction network. Hi-C is a chromosome conformation capture (3C)-based technology, an experimental approach for understanding chromatin interactions within DNA. The Hi-C technology measures pairwise chromatin interaction frequencies within a cell population. The genome is divided into bins of equal size (5K bases long), and the number of contacts observed between each pair of bins is reported. Nodes represent genomic regions and weighted edges represent normalized contacts between two regions in the genome."
heur_074,inf-euroroad.gr,1175,1443,11.3,29.0,infrastructure,http://networkrepository.com/,a road network
heur_075,planted_weighted_cycle_168_9+336v+756e.gr,1215,7995,63.9,30.0,planted,PACE 2020,A cycle of cliques of random cycles with some added random edges that go bottom-up the optimal treedepth decomposition
heur_076,polblogs_1490.gr,1224,16717,133.8,268.0,social,http://www-personal.umich.edu/~mejn/netdata/,"Political blogs: A directed network of hyperlinks between weblogs on US politics, recorded in 2005 by Adamic and Glance. Please cite L. A. Adamic and N. Glance, ""The political blogosphere and the 2004 US Election"", in Proceedings of the WWW-2005 Workshop on the Weblogging Ecosystem (2005). Thanks to Lada Adamic for permission to post these data on this web site."
heur_077,netscience_1589.gr,1461,3010,25.8,20.0,social,http://www-personal.umich.edu/~mejn/netdata/,"Coauthorships in network science: coauthorship network of scientists working on network theory and experiment, as compiled by M. Newman in May 2006. A figure depicting the largest component of this network can be found here. These data can be cited as M. E. J. Newman, Phys. Rev. E 74, 036104 (2006)."
heur_078,GTFS_VBB_EndeApr_Dez2016.zip_train+metro+tram.gr,1506,1862,479.1,31.0,infrastructure,https://github.com/daajoe/transit_graphs,Transit graphs contributed by Johannes Fichte for PACE 2019
heur_079,ChCh-Miner_durgbank-chem-chem.gr,1515,48517,373.6,450.0,biology,http://snap.stanford.edu/biodata/,"This is a network of interactions betweeen drugs, which are approved by the U.S. Food and Drug Administration. Nodes represent drugs and edges represent drug interactions. Drug-drug interactions occur when the pharmacologic effect of a one drug is altered by the action of another drug, leading to unpredictable clinical effects such as adverse drug reactions. When several drugs are administered together, there might be a greater possibility of adverse drug reactions as one drug can increase or decrease the effect of another drug. It is thus crucial to identify drug-drug interactions, especially during drug development, when one needs to identify interactions between a new candidate drug and drugs that are already on the market. Drug-drug interactions are extracted from drug labels and scientific publications.  References: DrugBank 5.0: a major update to the DrugBank database for 2018. Wishart, David S., et al. Nucleic Acids Research. 2017."
heur_080,78344.protein.links.v11.0.txt.gr,1634,23805,189.8,568.0,biology,https://string-db.org/,"STRING is a database of known and predicted protein-protein interactions. The interactions include direct (physical) and indirect (functional) associations; they stem from computational prediction, from knowledge transfer between organisms, and from interactions aggregated from other (primary) databases. This is a protein-interaction network of Bifidobacterium gallinarum."
heur_081,power-bcspwr09.gr,1723,2394,21.5,31.0,infrastructure,http://networkrepository.com/,a power grid network
heur_082,email-ucirvine.gr,1900,13842,118.0,403.0,social,http://konect.cc/,"This directed network contains sent messages between the users of an online community of students from the University of California, Irvine. A node represents a user. A directed edge represents a sent message. Multiple edges denote multiple messages."
heur_083,706437.protein.links.v11.0.txt.gr,2004,34196,274.3,742.0,biology,https://string-db.org/,"STRING is a database of known and predicted protein-protein interactions. The interactions include direct (physical) and indirect (functional) associations; they stem from computational prediction, from knowledge transfer between organisms, and from interactions aggregated from other (primary) databases. This is a protein-interaction network of Streptococcus anginosus F0211."
heur_084,Gocław_Poland.gr,2037,3057,26.7,55.0,infrastructure,Open street maps,Gocław (Poland): a road network downloaded from open street maps using osmnx Python package
heur_085,TFG-Ohmnet_tissue-function-gene-cleaned.gr,2192,5976,47.9,37.0,biology,http://snap.stanford.edu/biodata/,"This is a collection of protein-function association networks for a large number of human tissues. Nodes represent human proteins, tissues, and biological functions. Edges represent associations that indicate different biological roles of proteins in various tissues and cell types. The information on biological functions taking place in various tissues is determined based on manual curation and knowledge extracted from a tissue hierarchy. For example, 'low-density lipoprotein particle remodeling' is a biological function specific to blood plasma.  References: Predicting multicellular function through multi-layer tissue networks. Marinka Zitnik and Jure Leskovec. Bioinformatics. 2017. Understanding multicellular function and disease with human tissue-specific networks. Greene, Casey S., et al. Nature Genetics. 2015. BRENDA in 2015: exciting developments in its 25th year of existence. Chang, Antje, et al. Nucleic Acids Research. 2014."
heur_086,expander-margulis_2209.gr,2209,8554,75.3,837.0,generated,Python networkx package,A  Margulis-Gabber-Galil undirected graph (8-regular expander with multiple edges removed) on n^2 nodes. Generated using margulis_gabber_galil_graph from Python’s networkx package
heur_087,planted_rand_tree_2278+6834e.gr,2278,9111,79.1,11.0,planted,PACE 2020,A random tree with some added random edges that go bottom-up the optimal treedepth decomposition
heur_088,soc-hamsterster.gr,2427,16778,135.7,304.0,social,http://networkrepository.com/,Network is of the friendships and family links between users of the website http://www.hamsterster.com.
heur_089,HC-BIOGRID-2.0.31-nohead.gr,2538,6538,55.2,134.0,biology,https://thebiogrid.org/,"This is a protein-interaction network containing high-confidence interactions that are corroborated by multiple methods. Compiled by Batada, N. N. et al., Still stratus not altocumulus: further evidence against the date/party hub distinction. PLOS Biology, 5(6), 154, 2007. http://dx.doi.org/10.1371/journal.pbio.0050154"
heur_090,1123503.protein.links.v11.0.txt.gr,2725,46608,401.6,996.0,biology,https://string-db.org/,"STRING is a database of known and predicted protein-protein interactions. The interactions include direct (physical) and indirect (functional) associations; they stem from computational prediction, from knowledge transfer between organisms, and from interactions aggregated from other (primary) databases. This is a protein-interaction network of Woodsholea maritima."
heur_091,inf-openflights.gr,2940,15688,128.2,154.0,infrastructure,http://networkrepository.com/,a flight network
heur_092,planted_weighted_cycle_379_11+758v+2084e.gr,3096,25220,228.7,40.0,planted,PACE 2020,A cycle of cliques of random cycles with some added random edges that go bottom-up the optimal treedepth decomposition
heur_093,593907.protein.links.v11.0.txt.gr,3138,35840,300.5,895.0,biology,https://string-db.org/,"STRING is a database of known and predicted protein-protein interactions. The interactions include direct (physical) and indirect (functional) associations; they stem from computational prediction, from knowledge transfer between organisms, and from interactions aggregated from other (primary) databases. This is a protein-interaction network of Cellvibrio gilvus."
heur_094,DorogovtsevGoltsevMendesGraph.gr,3282,6561,58.7,10.0,named,https://github.com/freetdi/named-graphs,A Dorogovtsev-Goltsev-Mendes graph of order 8.
heur_095,planted_rand_tree_3417+10251e.gr,3417,13667,125.3,11.0,planted,PACE 2020,A random tree with some added random edges that go bottom-up the optimal treedepth decomposition
heur_096,NE1K_HiC_Net_12.gr,3576,219227,2000.3,539.0,biology,http://snap.stanford.edu/biodata/,"This is a Hi-C interaction network. Hi-C is a chromosome conformation capture (3C)-based technology, an experimental approach for understanding chromatin interactions within DNA. The Hi-C technology measures pairwise chromatin interaction frequencies within a cell population. The genome is divided into bins of equal size (1K bases long), and the number of contacts observed between each pair of bins is reported. Nodes represent genomic regions and weighted edges represent normalized contacts between two regions in the genome."
heur_097,fb-pages-tvshow.gr,3892,17239,144.5,220.0,social,http://networkrepository.com/,Data collected about Facebook pages (November 2017). These datasets represent blue verified Facebook page networks of different categories. Nodes represent the pages and edges are mutual likes among them.
